Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
603,The Sexy Brutale,N/A,Adventure,,0,0,0,0,0,#VALUE!
604,Metro Exodus,2019,Shooter,Deep Silver,0,0,0,0,0,1/1/2019
605,Anthem,2019,Role-Playing,Electronic Arts,0,0,0,0,0,1/1/2019
606,AereA,2017,Role-Playing,Soedesco,0,0,0,0,0,1/1/2017
607,Moons Of Madness,2018,Role-Playing,Unknown,0,0,0,0,0,1/1/2018
608,Iron Harvest,2018,Strategy,Unknown,0,0,0,0,0,1/1/2018
609,Biomutant,2018,Action,THQ Nordic,0,0,0,0,0,1/1/2018
610,Biomutant,2019,Action,THQ Nordic,0,0,0,0,0,1/1/2019
611,de Blob,2017,Platform,THQ Nordic,0,0,0,0,0,1/1/2017
612,Outcast: Second Contact,2017,Adventure,Bigben Interactive,0,0,0,0,0,1/1/2017
613,Code Vein,2019,Action,Bandai Namco Entertainment,0,0,0,0,0,1/1/2019
