Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
163,METRO 2033,2014,Shooter,Deep Silver,0.15,0.14,0,0.03,0.31,1/1/2014
164,Hitman (2016),2017,Action,Square Enix,0.2,0.08,0,0.03,0.31,1/1/2017
165,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.15,0.12,0,0.03,0.3,1/1/2017
166,Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.2,0.07,0,0.03,0.3,1/1/2015
167,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.18,0.09,0,0.03,0.3,1/1/2017
168,Sonic Forces,2017,Platform,Sega,0.15,0.11,0,0.03,0.29,1/1/2017
169,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.19,0.07,0,0.03,0.28,1/1/2015
170,Battleborn,2016,Shooter,2K Games,0.2,0.05,0,0.03,0.28,1/1/2016
171,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.16,0.09,0,0.02,0.28,1/1/2015
172,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.13,0.12,0,0.02,0.27,1/1/2016
173,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.13,0.13,0,0.02,0.27,1/1/2014
174,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,0.13,0.13,0,0.02,0.27,1/1/2014
175,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,0.17,0.08,0,0.02,0.27,1/1/2017
176,Skylanders Imaginators,2016,Platform,Activision,0.19,0.05,0,0.03,0.27,1/1/2016
177,Friday the 13th: The Game,2017,Action,Gun Media,0.21,0.03,0,0.03,0.27,1/1/2017
178,ReCore,2016,Action-Adventure,Microsoft Studios,0.16,0.06,0.01,0.02,0.26,1/1/2016
179,F1 2015,2015,Racing,Codemasters,0.09,0.15,0,0.02,0.25,1/1/2015
180,L.A. Noire,2017,Adventure,Rockstar Games,0.14,0.09,0,0.02,0.25,1/1/2017
181,Trials Fusion,2014,Racing,Ubisoft,0.12,0.1,0,0.02,0.25,1/1/2014
182,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.16,0.06,0,0.02,0.24,1/1/2017
183,Zumba Fitness: World Party,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.24,1/1/2013
184,Saints Row IV,2015,Action,Deep Silver,0.13,0.09,0,0.02,0.24,1/1/2015
185,Farming Simulator 2015,2015,Simulation,Koch Media,0.13,0.09,0,0.02,0.24,1/1/2015
186,A Way Out,2018,Action,Electronic Arts,0.17,0.05,0,0.02,0.24,1/1/2018
187,NBA Live 14,2013,Sports,EA Sports,0.19,0.02,0,0.02,0.24,1/1/2013
188,Payday 2,2015,Shooter,505 Games,0.14,0.07,0,0.02,0.23,1/1/2015
189,DiRT 4,2017,Racing,Codemasters,0.11,0.1,0,0.02,0.23,1/1/2017
190,NBA Live 15,2014,Sports,Electronic Arts,0.18,0.02,0,0.02,0.22,1/1/2014
191,F1 2016 (Codemasters),2016,Racing,Codemasters,0.09,0.12,0,0.02,0.22,1/1/2016
192,Deadpool,2015,Action,Activision,0.17,0.03,0,0.02,0.22,1/1/2015
193,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.12,0.08,0,0.02,0.22,1/1/2014
194,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.14,0.06,0,0.02,0.22,1/1/2018
195,Lords of the Fallen,2014,Role-Playing,Square Enix,0.1,0.1,0,0.02,0.22,1/1/2014
196,Super Lucky's Tale,2017,Platform,Microsoft Studios,0.13,0.07,0,0.02,0.22,1/1/2017
197,DiRT Rally,2016,Racing,Codemasters,0.12,0.08,0,0.02,0.21,1/1/2016
198,Just Dance 2018,2017,Music,Ubisoft,0.15,0.04,0,0.02,0.21,1/1/2017
199,Homefront: The Revolution,2016,Shooter,Deep Silver,0.1,0.09,0,0.02,0.21,1/1/2016
200,State of Decay,2015,Action-Adventure,Microsoft Studios,0.14,0.05,0,0.02,0.21,1/1/2015
201,NBA Live 18,2017,Sports,EA Sports,0.18,0,0,0.02,0.21,1/1/2017
202,theHunter: Call of the Wild,2017,Shooter,Astragon,0.18,0,0,0.02,0.21,1/1/2017
203,Sleeping Dogs,2014,Action-Adventure,Square Enix,0.1,0.09,0,0.02,0.2,1/1/2014
204,Project CARS 2,2017,Racing,Namco Bandai Games,0.01,0.18,0,0.01,0.2,1/1/2017
205,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0,0.02,0.2,1/1/2016
206,Dishonored,2015,Action,Bethesda Softworks,0.13,0.05,0,0.02,0.19,1/1/2015
207,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.11,0.07,0,0.02,0.19,1/1/2016
208,Fantasia: Music Evolved,2014,Music,Disney Interactive Studios,0.14,0.03,0,0.02,0.19,1/1/2014
209,Mirror's Edge 2,2016,Platform,Electronic Arts,0.11,0.06,0,0.02,0.19,1/1/2016
210,Dance Central: Spotlight,N/A,Music,,0.15,0.03,0,0,0.19,#VALUE!
211,Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,0.17,0,0,0.02,0.19,1/1/2018
212,XCOM 2,2016,Strategy,2K Games,0.15,0.02,0,0.02,0.19,1/1/2016
213,F1 2017,2017,Racing,Koch Media,0.04,0.13,0,0.01,0.19,1/1/2017
214,Shape Up,2014,Sports,Ubisoft,0.08,0.09,0,0.01,0.18,1/1/2014
215,Cities: Skylines,2017,Simulation,Deep Silver,0.13,0.03,0,0.02,0.18,1/1/2017
216,Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,0.11,0.05,0,0.02,0.18,1/1/2017
217,Project Spark (Working Title),2014,Misc,Microsoft Studios,0.11,0.05,0,0.02,0.17,1/1/2014
218,Rush: A Disney Pixar Adventure,2017,Adventure,Microsoft Studios,0.15,0,0,0.02,0.17,1/1/2017
219,Fighter Within,2013,Fighting,Ubisoft,0.08,0.07,0,0.01,0.17,1/1/2013
220,Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,0.08,0.07,0,0.01,0.17,1/1/2014
221,Pac-Man Championship Edition 2 + Arcade Game Series,2016,Action,Namco Bandai Games,0.15,0,0,0.02,0.16,1/1/2016
222,Angry Birds: Star Wars,2013,Puzzle,Activision,0.11,0.04,0,0.02,0.16,1/1/2013
223,Little Nightmares,2017,Platform,Namco Bandai Games,0.12,0.03,0,0.02,0.16,1/1/2017
224,The Walking Dead: Season One,2014,Adventure,Telltale Games,0.08,0.06,0,0.01,0.16,1/1/2014
225,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,0.07,0.07,0,0.01,0.15,1/1/2015
226,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.04,0.1,0,0.01,0.15,1/1/2014
227,Transformer: Rise of the Dark Spark,2014,Shooter,Activision,0.1,0.03,0,0.01,0.15,1/1/2014
228,The Escapists 2,2017,Action,Sold Out,0.05,0.08,0,0.01,0.15,1/1/2017
229,Transformers: Devastation,2015,Action,Activision,0.1,0.04,0,0.01,0.15,1/1/2015
230,Spintires: MudRunner,2017,Simulation,Focus Home Interactive,0.11,0.02,0,0.01,0.15,1/1/2017
231,DmC: Devil May Cry,2015,Action,Capcom,0.09,0.04,0,0.01,0.15,1/1/2015
232,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.06,0.07,0,0.01,0.15,1/1/2016
233,Tony Hawk's Pro Skater 5,2015,Sports,Activision,0.11,0.02,0,0.01,0.14,1/1/2015
234,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,0.11,0.02,0,0.01,0.14,1/1/2017
235,The Walking Dead: Season Two,2014,Misc,Telltale Games,0.08,0.05,0,0.01,0.14,1/1/2014
236,Resident Evil: Revelations 2,2015,Action,Capcom,0.1,0.02,0,0.01,0.14,1/1/2015
237,Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,0.07,0.06,0,0.01,0.14,1/1/2017
238,Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,0.12,0,0,0.01,0.14,1/1/2017
239,The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,0.09,0.03,0,0.01,0.14,1/1/2017
240,Hasbro Family Fun Pack,2015,Misc,Ubisoft,0.1,0.02,0,0.01,0.13,1/1/2015
241,Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.12,0,0,0.01,0.13,1/1/2016
242,Song of the Deep,2016,Action,Insomniac Games,0.12,0,0,0.01,0.13,1/1/2016
243,NBA Live 16,2015,Sports,EA Sports,0.11,0.01,0,0.01,0.13,1/1/2015
244,Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0,0.01,0.13,1/1/2017
245,Sonic Mania,2017,Platform,Sega,0.09,0.03,0,0.01,0.13,1/1/2017
246,Dead by Daylight,2017,Action,505 Games,0.08,0.03,0,0.01,0.12,1/1/2017
247,Darksiders III,2018,Action,THQ Nordic,0.11,0,0,0.01,0.12,1/1/2018
248,Vampyr,2018,Role-Playing,Focus Home Interactive,0.07,0.04,0,0.01,0.12,1/1/2018
249,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.12,1/1/2017
250,NASCAR Heat 2,2017,Racing,505 Games,0.11,0,0,0.01,0.12,1/1/2017
251,Life is Strange,2016,Adventure,Square Enix,0.08,0.03,0,0.01,0.12,1/1/2016
252,Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.11,0,0,0.01,0.12,1/1/2017
253,The Surge,2017,Action,Koch Media,0.07,0.04,0,0.01,0.12,1/1/2017
254,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.11,0,0,0.01,0.12,1/1/2017
255,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.05,0.06,0,0.01,0.12,1/1/2015
256,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.06,0.05,0,0.01,0.12,1/1/2017
257,7 Days to Die,2016,Action,Telltale Games,0.09,0.02,0,0.01,0.12,1/1/2016
258,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.05,0.05,0,0.01,0.12,1/1/2015
259,Prototype: Biohazard Bundle,2016,Action,Activision,0.1,0,0,0.01,0.11,1/1/2016
260,Ride,2015,Racing,Milestone S.r.l.,0.05,0.05,0,0.01,0.11,1/1/2015
261,Agents of Mayhem,2017,Action,Deep Silver,0.07,0.03,0,0.01,0.11,1/1/2017
262,Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.1,0,0,0.01,0.11,1/1/2016
263,Killer Instinct (2013),2014,Fighting,Microsoft Studios,0.07,0.03,0,0.01,0.11,1/1/2014
264,MXGP 2,2016,Racing,Milestone S.r.l.,0.07,0.02,0,0.01,0.1,1/1/2016
265,NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.09,0,0,0.01,0.1,1/1/2016
266,TrackMania Turbo,2016,Racing,Ubisoft,0.05,0.04,0,0.01,0.1,1/1/2016
267,Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0,0.01,0.1,1/1/2015
268,Dead or Alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1,1/1/2015
269,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.05,0.03,0,0.01,0.1,1/1/2016
270,Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.02,0,0.01,0.1,1/1/2016
271,Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.09,0,0,0.01,0.1,1/1/2018
272,Yooka-Laylee,2017,Platform,Sold Out,0.05,0.04,0,0.01,0.1,1/1/2017
273,Real Farm,2017,Simulation,Soedesco,0.08,0,0,0.01,0.1,1/1/2017
274,We Happy Few,2018,Action-Adventure,Gearbox Software,0.07,0.01,0,0.01,0.09,1/1/2018
275,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.08,0,0,0.01,0.09,1/1/2016
276,The Wolf Among Us,2014,Adventure,Telltale Games,0.06,0.02,0,0.01,0.09,1/1/2014
277,Attack on Titan 2,2018,Action,Koei Tecmo,0.08,0,0,0.01,0.09,1/1/2018
278,Rugby 15,2015,Sports,Bigben Interactive,0.03,0.05,0,0.01,0.09,1/1/2015
279,MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.02,0,0.01,0.09,1/1/2017
280,Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.06,0.02,0,0.01,0.08,1/1/2015
281,Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0,0,0.01,0.08,1/1/2018
282,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.08,0,0,0.01,0.08,1/1/2017
283,Dead Island Definitive Collection,2016,Action,Deep Silver,0.05,0.03,0,0.01,0.08,1/1/2016
284,Ride 2,2016,Racing,Milestone S.r.l,0.06,0.01,0,0.01,0.08,1/1/2016
285,Elite: Dangerous,2017,Simulation,Frontier Developments,0.07,0,0,0.01,0.08,1/1/2017
286,Just Dance: Disney Party 2,2015,Music,Ubisoft,0.06,0.01,0,0.01,0.08,1/1/2015
287,Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.06,0.01,0,0.01,0.08,1/1/2017
288,Micro Machines: World Series,2017,Racing,Codemasters,0.02,0.05,0,0.01,0.08,1/1/2017
289,Darksiders II,2015,Action-Adventure,Nordic Games,0.05,0.03,0,0.01,0.08,1/1/2015
290,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.03,0.04,0,0.01,0.08,1/1/2014
291,Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0,0,0.01,0.08,1/1/2015
292,BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.06,0.01,0,0.01,0.08,1/1/2015
293,Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.05,0.01,0,0.01,0.08,1/1/2018
294,The Golf Club,2015,Sports,Ravenscourt,0.07,0,0,0.01,0.07,1/1/2015
295,Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.06,0.01,0,0.01,0.07,1/1/2016
296,Constructor HD,2017,Strategy,System 3,0.07,0,0,0.01,0.07,1/1/2017
297,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.05,0.01,0,0.01,0.07,1/1/2016
298,Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.02,0,0.01,0.07,1/1/2016
299,Disneyland Adventures,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0,0.01,0.07,1/1/2017
300,Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.04,0.02,0,0.01,0.07,1/1/2014
301,Resident Evil 6,2016,Shooter,Capcom,0.06,0,0,0.01,0.07,1/1/2016
302,Ghostbusters (2016),2016,Action,Activision,0.06,0,0,0.01,0.07,1/1/2016
303,R.B.I. Baseball 2017,2017,Sports,MLB.com,0.06,0,0,0.01,0.07,1/1/2017
304,Aven Colony,2017,Strategy,Sold Out,0.06,0,0,0.01,0.06,1/1/2017
305,Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.04,0.02,0,0.01,0.06,1/1/2015
306,Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.06,0,0,0.01,0.06,1/1/2016
307,MotoGP 17,2017,Racing,Koch Media,0.04,0.02,0,0.01,0.06,1/1/2017
308,Wasteland 2,2015,Role-Playing,Deep Silver,0.05,0.01,0,0.01,0.06,1/1/2015
309,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.06,1/1/2017
310,Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.01,0,0.01,0.06,1/1/2016
311,Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.05,0,0,0.01,0.06,1/1/2016
312,Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06,1/1/2016
313,MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.05,0,0,0.01,0.06,1/1/2015
314,Killing Floor 2 ,2017,Shooter,Tripwire Interactive,0.05,0,0,0.01,0.06,1/1/2017
315,R.B.I. Baseball 2016,2016,Sports,MLB.com,0.05,0,0,0.01,0.06,1/1/2016
316,Okami,2017,Action,Capcom,0.05,0,0,0.01,0.06,1/1/2017
317,Rapala Fishing Pro Series,2017,Simulation,GameMill,0.05,0,0,0.01,0.06,1/1/2017
318,Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.05,0,0,0.01,0.06,1/1/2016
319,Golf Club 2,2017,Sports,Maximum Games,0.05,0,0,0.01,0.06,1/1/2017
320,Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0,0,0.01,0.06,1/1/2016
321,Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0,0,0.01,0.06,1/1/2016
322,Hunting Simulator,2017,Shooter,Bigben Interactive,0.05,0,0,0.01,0.06,1/1/2017
323,Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.05,0,0,0.01,0.06,1/1/2017
324,Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05,1/1/2017
325,Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.05,0,0,0.01,0.05,1/1/2017
326,Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.04,0,0,0.01,0.05,1/1/2016
327,Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.01,0,0.01,0.05,1/1/2015
328,The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0,0,0.01,0.05,1/1/2017
329,Rugby 18,2017,Sports,Koch Media,0.04,0,0,0.01,0.05,1/1/2017
330,Has-Been Heroes,2017,Action,GameTrust,0.04,0,0,0.01,0.05,1/1/2017
331,Deformers,2017,Action,Ready at Dawn,0.04,0,0,0.01,0.05,1/1/2017
332,Extinction,2018,Action,Maximum Games,0.04,0,0,0.01,0.05,1/1/2018
333,Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.04,0,0,0.01,0.05,1/1/2016
334,The Technomancer,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0,0,0.05,1/1/2016
335,Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0,0,0.01,0.05,1/1/2017
336,Pillars of Eternity,2017,Role-Playing,Paradox Interactive ,0.04,0,0,0.01,0.05,1/1/2017
337,Just Sing,2016,Music,Ubisoft,0.04,0,0,0.01,0.05,1/1/2016
338,Mighty No. 9,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05,1/1/2016
339,Batman: The Enemy Within,2017,Adventure,Telltale Games,0.04,0,0,0.01,0.05,1/1/2017
340,WRC 7,2017,Racing,Bigben Interactive,0.04,0,0,0.01,0.05,1/1/2017
341,King's Quest: The Complete Collection,2016,Adventure,Activision,0.04,0,0,0.01,0.05,1/1/2016
342,Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.04,0,0,0.01,0.05,1/1/2016
343,Road Rage,2017,Racing,Maximum Games,0.04,0,0,0,0.04,1/1/2017
344,Dragon's Dogma,2017,Role-Playing,Capcom,0.04,0,0,0,0.04,1/1/2017
345,Deer Hunter Reloaded,2017,Shooter,GameMill Entertainment,0.04,0,0,0,0.04,1/1/2017
346,Overcooked,2016,Action,Sold Out,0.04,0,0,0,0.04,1/1/2016
347,Resident Evil 5 HD,2016,Action,Capcom,0.04,0,0,0,0.04,1/1/2016
348,Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.04,0,0,0,0.04,1/1/2016
349,Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0,0,0,0.04,1/1/2017
350,Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.04,0,0,0,0.04,1/1/2015
351,Terraria,2014,Action,505 Games,0,0.04,0,0,0.04,1/1/2014
352,Elex,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04,1/1/2017
353,Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.04,0,0,0,0.04,1/1/2017
354,Don't Starve,2018,Adventure,505 Games,0.04,0,0,0,0.04,1/1/2018
355,Dead Rising 2,2016,Action,Capcom,0.03,0,0,0,0.04,1/1/2016
356,Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0,0.04,0,0,0.04,1/1/2015
357,Monster Jam: Crush It,2016,Racing,GameMill,0.03,0,0,0,0.04,1/1/2016
358,Shadow Warrior (2013),2014,Shooter,Devolver Digital,0,0.04,0,0,0.04,1/1/2014
359,Dead Alliance,2017,Shooter,Maximum Games,0.03,0,0,0,0.04,1/1/2017
360,Warriors Orochi 3,2014,Action,Tecmo Koei,0.01,0.03,0,0,0.04,1/1/2014
361,Dead Rising,2016,Action,Capcom,0.03,0,0,0,0.04,1/1/2016
362,Sine Mora,2017,Action,THQ Nordic,0.03,0,0,0,0.04,1/1/2017
363,WRC 6,2016,Racing,PQube,0.03,0,0,0,0.03,1/1/2016
364,Black Mirror,2017,Adventure,THQ Nordic,0.03,0,0,0,0.03,1/1/2017
365,Pure Farming 2018,2018,Simulation,Techland,0.03,0,0,0,0.03,1/1/2018
366,MotoGP 15,2015,Racing,Milestone S.r.l.,0,0.03,0,0,0.03,1/1/2015
367,Raid: World War II,2017,Shooter,505 Games,0.03,0,0,0,0.03,1/1/2017
368,Carmageddon: Max Damage,2016,Action,Stainless Games,0.02,0.01,0,0,0.03,1/1/2016
369,INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.03,0,0,0,0.03,1/1/2017
370,Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0,0,0,0.03,1/1/2016
371,Stardew Valley,2017,Simulation,505 Games,0.02,0,0,0,0.03,1/1/2017
372,Ben 10 (2017),2017,Action,Outright Games,0.02,0,0,0,0.03,1/1/2017
373,The Pillars of the Earth,2017,Adventure,Kalypso Media,0.02,0,0,0,0.03,1/1/2017
374,Rime,2017,Adventure,Grey Box,0.02,0,0,0,0.03,1/1/2017
375,Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0,0,0,0.02,1/1/2016
376,Syberia III,2017,Adventure,Microids,0.02,0,0,0,0.02,1/1/2017
377,Moto Racer 4,2016,Racing,PQube,0.02,0,0,0,0.02,1/1/2016
378,Rugby League Live 4,2017,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02,1/1/2017
379,ABZU,2017,Adventure,505 Games,0.02,0,0,0,0.02,1/1/2017
380,Pharaonic,2017,Action,Soedesco,0.02,0,0,0,0.02,1/1/2017
381,Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.02,0,0,0,0.02,1/1/2016
382,Resident Evil: Revelations,2017,Action,Capcom,0.02,0,0,0,0.02,1/1/2017
383,Broken Sword 5: The Serpent's Curse,2015,Adventure,Revolution Software,0,0.02,0,0,0.02,1/1/2015
384,Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0,0.02,0,0,0.02,1/1/2015
385,The Crew: Wild Run,2015,Racing,Ubisoft,0,0.02,0,0,0.02,1/1/2015
386,Prison Architect,2016,Simulation,Introversion Software,0.02,0,0,0,0.02,1/1/2016
387,The Dwarves,2016,Role-Playing,THQ Nordic,0.02,0,0,0,0.02,1/1/2016
388,Big Buck Hunter Arcade,2017,Shooter,GameMill,0.02,0,0,0,0.02,1/1/2017
389,Redout,2017,Racing,505 Games,0.02,0,0,0,0.02,1/1/2017
390,Troll and I,2017,Action,Maximum Games,0.02,0,0,0,0.02,1/1/2017
391,Portal Knights,2017,Role-Playing,505 Games,0.02,0,0,0,0.02,1/1/2017
392,Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.02,0,0,0,0.02,1/1/2018
393,Psycho-Pass,2014,Visual Novel,5pb,0,0,0.02,0,0.02,1/1/2014
394,Tropico 5,2016,Simulation,Kalypso Media,0.02,0,0,0,0.02,1/1/2016
395,Back to the Future: The Game,2015,Adventure,Telltale Games,0,0.02,0,0,0.02,1/1/2015
396,Saints Row: Gat out of Hell,2015,Action,Deep Silver,0,0.02,0,0,0.02,1/1/2015
397,Mega Man Legacy Collection 2,2017,Action,Capcom,0.02,0,0,0,0.02,1/1/2017
398,Dungeons 3,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02,1/1/2017
399,Blackguards 2,2017,Strategy,Kalypso Media,0.02,0,0,0,0.02,1/1/2017
400,Rogue Trooper: Redux,2017,Shooter,Rebellion,0.02,0,0,0,0.02,1/1/2017
401,Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.01,0,0,0,0.02,1/1/2017
402,The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.01,0,0,0,0.02,1/1/2017
403,Assetto Corsa,2016,Racing,505 Games,0,0.01,0,0,0.02,1/1/2016
404,Le Tour de France 2017,2017,Simulation,Focus Home Interactive,0,0.01,0,0,0.02,1/1/2017
405,Lock's Quest,2017,Strategy,THQ Nordic,0.01,0,0,0,0.02,1/1/2017
406,WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0,0.01,0,0,0.02,1/1/2015
407,FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.01,0,0,0,0.01,1/1/2017
408,Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.01,0,0,0,0.01,1/1/2017
409,The Town of Light,2017,Adventure,THQ Nordic,0.01,0,0,0,0.01,1/1/2017
410,Goat Simulator,2016,Simulation,Koch Media,0,0.01,0,0,0.01,1/1/2016
411,Rugby League Live 3,2015,Sports,Tru Blu Entertainment,0,0.01,0,0,0.01,1/1/2015
412,Assassin's Creed Chronicles,2016,Action,Ubisoft,0,0.01,0,0,0.01,1/1/2016
413,SÅEbastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0,0.01,0,0,0.01,1/1/2016
414,Rugby Challenge 3,2016,Sports,Alternative Software,0,0.01,0,0,0.01,1/1/2016
415,Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0,0.01,0,0,0.01,1/1/2014
416,ZombiU,2016,Action,Ubisoft,0,0.01,0,0,0.01,1/1/2016
417,This War of Mine,2016,Action,11 bit studios,0,0.01,0,0,0.01,1/1/2016
418,Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.01,0,0,0,0.01,1/1/2016
419,ScreamRide,2015,Simulation,Microsoft Studios,0,0.01,0,0,0.01,1/1/2015
420,Torment: Tides of Numenera,2017,Role-Playing,Techland,0.01,0,0,0,0.01,1/1/2017
421,Ziggurat,2016,Shooter,Soedesco,0,0.01,0,0,0.01,1/1/2016
422,ATV Renegades,2017,Racing,Nighthawk Interactive,0,0,0,0,0.01,1/1/2017
423,This Is The Police,2017,Simulation,THQ Nordic,0,0,0,0,0.01,1/1/2017
424,Valhalla Hills,2017,Strategy,Kalypso Media,0,0,0,0,0,1/1/2017
425,Handball 16,2015,Sports,Bigben Interactive,0,0,0,0,0,1/1/2015
426,Shovel Knight,2015,Platform,Yacht Club Games,0,0,0,0,0,1/1/2015
427,Blood Bowl 2,2015,Sports,Focus Home Interactive,0,0,0,0,0,1/1/2015
428,The Peanuts Movie: Snoopy's Grand Adventure,2015,Platform,Activision,0,0,0,0,0,1/1/2015
429,Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0,0,0,0,0,1/1/2016
430,Kung Fu Panda: Showdown of Legendary Legends,2015,Action,Little Orbit,0,0,0,0,0,1/1/2015
431,Strider (2014),2014,Platform,Capcom,0,0,0,0,0,1/1/2014
